,Unnamed: 0,internalTaxonId,scientificName,commonName,threat,iucn_id,iucn_status,habitat
0,0,3339,Burramys parvus,Mountain Pygmy-possum,"['Roads & railroads', 'Habitat shifting & alteration', 'Increase in fire frequency/intensity', 'Tourism & recreation areas', 'Dams (size unknown)', 'Named species', 'Named species']",9775825,Critically Endangered,['Shrubland - Subtropical/Tropical High Altitude']
1,1,40540,Sarcophilus harrisii,Tasmanian Devil,"['Problematic native species/diseases', 'Persecution/control']",10331066,Endangered,"['Shrubland - Temperate', 'Artificial/Terrestrial - Pastureland', 'Introduced vegetation', 'Artificial/Terrestrial - Arable Land', 'Forest - Temperate', 'Caves and Subterranean Habitats (non-aquatic) - Caves', 'Grassland - Temperate']"
2,2,40527,Dasykaluta rosamondae,Little Red Antechinus,[],21943336,Least Concern,['Grassland - Subtropical/Tropical Dry']
3,3,1581,Antechinomys laniger,Kultarr,"['Scale Unknown/Unrecorded', 'Agro-industry grazing, ranching or farming', 'Increase in fire frequency/intensity', 'Named species']",21943713,Least Concern,"['Savanna - Dry', 'Shrubland - Mediterranean-type Shrubby Vegetation', 'Shrubland - Subtropical/Tropical Dry', 'Grassland - Subtropical/Tropical Dry', 'Desert - Hot', 'Desert - Temperate']"
4,4,40531,Ningaui yvonneae,Southern Ningaui,[],21943904,Least Concern,"['Shrubland - Subtropical/Tropical Dry', 'Grassland - Subtropical/Tropical Dry', 'Shrubland - Mediterranean-type Shrubby Vegetation']"
5,5,40529,Ningaui ridei,Wongai Ningaui,[],21943973,Least Concern,"['Savanna - Dry', 'Grassland - Subtropical/Tropical Dry', 'Shrubland - Subtropical/Tropical Dry']"
6,6,40530,Ningaui timealeyi,Pilbara Ningaui,[],21944037,Least Concern,"['Grassland - Subtropical/Tropical Dry', 'Desert - Hot', 'Rocky areas (eg. inland cliffs, mountain peaks)']"
7,7,6265,Dasyuroides byrnei,Kowari,"['Scale Unknown/Unrecorded', 'Habitat shifting & alteration']",21944128,Vulnerable,"['Desert - Hot', 'Shrubland - Subtropical/Tropical Dry']"
8,8,16888,Phascogale calura,Red-tailed Phascogale,"['Increase in fire frequency/intensity', 'Named species']",21944219,Near Threatened,"['Forest - Subtropical/Tropical Dry', 'Savanna - Dry', 'Shrubland - Mediterranean-type Shrubby Vegetation']"
9,9,16889,Phascogale pirata,Northern Brush-tailed Phascogale,"['Scale Unknown/Unrecorded', 'Agro-industry plantations', 'Trend Unknown/Unrecorded', 'Named species']",21944455,Vulnerable,['Forest - Subtropical/Tropical Dry']
10,10,16138,Parantechinus apicalis,Dibbler,"['Trend Unknown/Unrecorded', 'Named species']",21944584,Endangered,['Shrubland - Mediterranean-type Shrubby Vegetation']
