assessmentId,internalTaxonId,scientificName,redlistCategory,redlistCriteria,yearPublished,assessmentDate,criteriaVersion,language,rationale,habitat,threats,population,populationTrend,range,useTrade,systems,conservationActions,realm,yearLastSeen,possiblyExtinct,possiblyExtinctInTheWild,scopes
9775825,3339,Burramys parvus,Critically Endangered,"B1ab(iii,v)+2ab(iii,v)",2008,2008-06-30 00:00:00 UTC,3.1,English,"Listed as Critically Endangered because its extent of occurrence is less than 100 km², its area of occupancy is less than 10 km², the population is severely fragmented, and there is continuing decline in the extent and quality of its habitat and in the number of mature individuals.","This is the only Australian mammal species confined to alpine environments (Broome 2008). They occur in periglacial boulder fields (basalt, granite, granodiorites) overlain with mountain plum-pine <em>Podocarpus lawrenceii</em> heathland and adjacent alpine communities. The basalt boulderfields have the greatest population density. Mountain Pygmy Possums are nocturnal and terrestrial, but they are also adept climbers. It has a spring-summer diet composed predominantly of Bogong moths <em>Agrotis infusa</em> and other invertebrates with seeds and fruits important in late summer and autumn (Mansergh and Broome 1994). Females normally have one litter of 4 young following snowmelt in spring. All individuals accumulate subcutaneous fat during late summer and autumn and spend the winter in hibernation (about 7 months for adults and 5 months for juveniles; Geiser and Broome (1991)). Snow cover provides important insulation and protection to hibernating animals.","The extremely restricted habitat has been fragmented or destroyed by road construction, dam/aqueduct construction, and development of infrastructure for the downhill skiing industry. Approximately 50% of the habitat supporting the Mt. Bogong-Mt. Higginbotham population and 20% of the Kosciuszko habitat was burned in bushfires in January 2003, killing <em>Podocarpus</em> heathland aged from 50-400 years (L. Broome pers. comm.). The population at Mt. Buller suffers from fragmentation and subpopulations here and around ski resorts in the Kosciuszko area have declined severely since 2000 due to: habitat destruction, predation by feral cats, and possibly low snow cover. Predation by the introduced Red Fox is also a threat and the habitat is subject to weed invasion (e.g., willow <em>Salix</em> species). Bogong moths are migratory and have been found to carry arsenic from their breeding grounds in the Murray-Darling Basin to the mountains where it accumulates in food chains. Arsenic has been found in the scats of <em>B. parvus</em> and other small mammals, but the implications of this are as yet unknown (Green <em>et al.</em> 2001). <br/><br/>Marginalisation and loss of habitat and the severity of predation are predicted to increase with global warming. A recent trend of second litters following early snow melt has been observed at Mt. Buller (D. Heinze pers. comm.). Neither second litters nor their mothers are known to survive the winter because they are unable to accumulate the fat reserves necessary for successful hibernation through winter.","Common where they occur, but declining. The total population is estimated to number approximately 1,700 adult females and 550 adult males (Broome 2008).",Decreasing,"The Mountain Pygmy Possum is endemic to south-eastern Australia where it occurs as three isolated, genetically distinct populations: 1) between Mt. Bogong and Mt. Higginbotham, Victoria 2) at Mt. Buller, Victoria and 3) in the Kosciuszko region of New South Wales (Osborne <em>et al.</em> 2000). Its range is much smaller than the mapped distribution, and its area of occupancy is estimated to be less than 6 or 7 km² (Heinze <em>et al.</em> 2004; Broome 2008). This species ranges in elevation from 1,300 to 2,228 m asl (Broome 2008).",,Terrestrial,"The entire extent of the species' range is in protected areas, though important parts (and all of the Mt. Buller population) are in ski-resort lease areas. Government-endorsed management plans exists in Victoria (Mansergh <em>et al.</em> 1989) and New South Wales (NSW 2002), and a national recovery plan is being prepared. The recovery objectives for this species (Maxwell <em>et al.</em> 1996; NSW 2002), include: conserve all remaining habitat and maintain it in a condition to support existing population levels; restore or re-create habitat in areas of disturbance; define habitat and population levels in Buller-Stirling area (Victoria) and reassess total population size and distribution of habitat in New South Wales; control feral predators and exotic species; monitor populations and habitat; define source and sink populations, understand genetic interrelationships and produce a metapopulation dynamics model; review threatening processes and predict the probability of long-term persistence in the wild; determine the feasibility of a viable captive breeding program; promote community awareness.<br/><br/>Recovery actions completed or underway include: distribution and abundance is well defined, general ecology and population dynamics have been studied at five sites over the last 20 years and additional sites over the last 10 years. Monitoring of populations, diet, food supply (Bogong moths and seeds) and habitat in ski resorts and control areas and consequent on-ground protection and planning is ongoing; protocols that provide protection to populations have been developed within some ski resorts, legislative and operational protection of all habitat needs to be finalised. Habitat restoration is occurring in fragmented, burnt, and disturbed areas in ski resorts. Feral cat, fox, rabbit, and weed control has been initiated in some areas; genetic studies are nearing completion; establishment of a captive colony of the Mt. Buller population is under consideration.<br/><br/>Studies required include: determine effects of the ski industry (notably use of snow-grooming equipment over habitat) and loss of snow cover on hibernation and over-winter survival; investigate Bogong moth population dynamics and pesticide residues, the possibility of competition or predation by co-occuring small mammal species, social dynamics, reproductive success, and captive husbandry techniques; continue research aimed at producing reliable metapopulation dynamics and viability models.",Australasian,,false,false,Global
21950307,20636,Spilocuscus maculatus,Least Concern,,2016,2015-06-15 00:00:00 UTC,3.1,English,"Listed as Least Concern in view of its wide distribution, large population, occurrence in a number of protected areas, resilience to habitat disturbance and hunting, and because its population is probably stable.","It is an arboreal and nocturnal species, found in primary, secondary, and disturbed tropical moist forest. It has additionally been recorded in mangrove forest. Females are believed to rear a single young (Winter and Leung 1995).","There appear to be no major threats to this species. It is locally hunted for food and skins in parts of its range (e.g., New Guinea).",It is a locally common lowland species.,Stable,"This widespread species is found through much of the southern Moluccan Islands (Indonesia), including Buru, Seram, Banda, and Ambon (possibly introduced to these islands); it is present on the islands of Misool and Yapen, the Kai Islands and the Aru Islands (all Indonesia); it is distributed over much of the island of New Guinea (Indonesia and Papua New Guinea); and is present on the Cape York Peninsula, north of Coen, in Australia. It has been introduced to the islands of Mussau and New Ireland (Papua New Guinea), and to Salayer Island, south of Sulawesi, Indonesia (George 1987). It has an altitudinal range of sea level to 1,400 m asl.",,Terrestrial,This species is listed on Appendix II of CITES. It is present in a number of protected areas. Further studies into the taxonomy of this species are needed.,Australasian,,false,false,Global
21950421,23091,Wyulda squamicaudata,Near Threatened,,2016,2014-03-16 00:00:00 UTC,3.1,English,"<p>The Scaly-tailed Possum is assessed as Near Threatened because its area of occupancy may be &lt;2,000&#160;km<sup>2</sup> and may be declining, but not at a rate of 30% in 12 years (three generations). Recent records are from a small number of location. Survey effort of the remote area where it occurs has been insufficient to estimate the actual number of locations, but this is probably &gt;10.</p>","<p>The Scaly-tailed Possum occurs in rugged sandstones with adjacent open woodland or closed forest, sometimes with rainforest elements. It forages mainly in trees but may venture into open areas to feed on flowers, fruits, seeds and leaves. In captivity it also eats nuts and insects. It shelters in rock piles, under rock slabs and in underground crevices. Females give birth mainly in the dry season between March and August, although breeding may extend later in the dry season. A single juvenile is carried in the pouch for 150-200 days and is weaned after eight months. Females are sexually mature at two years (Humphreys <em>et al</em>. 1984; Runcie 1999; Burbidge and Webb 2008). </p>","Major threats are inappropriate fire regimes (too frequent, extensive and hot) and predation by feral cats. Information on the effects of these threats is limited.","<p>There is no robust estimate of population size. It is locally common at some sites in the north-west Kimberley and on Bigge Island; but is apparently uncommon in the east Kimberley. A 2003 survey demonstrated persistence in Prince Regent National Park and at Mitchell Plateau (Start <em>et al</em>. 2007). Recent surveys (2011, 2012) by the Australian Wildlife Conservancy have recorded Scaly-tailed Possums as locally common in the Artesian Range south of the Prince Regent (Sarah Legge <em>pers. comm</em>.). It has been recently recorded on Augustus Island via camera trapping.</p>",Decreasing,"<p>The Scaly-tailed Possum is restricted to the Kimberley, Western Australia: most records are from near-coastal, high-rainfall north-western Kimberley from Kalumburu south to Yampi Peninsula. The type specimen came from Violet Valley, near Warmun, east Kimberley in 1917. It was rediscovered in east Kimberley at Emma Gorge, Cockburn Range, El Questro Station in June 2010 (Doody <em>et al</em>. 2012). The East Kimberley population may be separated from that of the north-west Kimberley (Doody <em>et al</em>. 2012), but survey effort in areas between has been low. It occurs on Augustus (190 km<sup>2</sup>), Bigge (171 km<sup>2</sup>) and Boongaree (42 km<sup>2</sup>) Islands (Burbidge and McKenzie 1978; Gibson and McKenzie 2012). A 1970 sight record from Broome reported by Ride (1970) was possibly a translocated animal as Broome is considered unlikely on habitat grounds. It is known to have disappeared from some sites (Lochman and Lochman 2003). The species is reasonably widespread in some parts of the Kimberley, such as the Artesian Range (R. Hohnen <em>pers. comm. </em>2016). There has been too little survey effort to determine the total number of locations at which it occurs but this is highly likely to be grater than 10 (R. Hohnen&#160;<em>pers. comm.&#160;</em>2016).</p>",,Terrestrial,"<p>National Parks within its range are managed by the Department of Parks and Wildlife. Aboriginal lands, most of which are Indigenous Protected Areas, are managed by the Wunambal Gaambera Aboriginal Corporation and the Dambimangari Aboriginal Corporation. Artesian Range Sanctuary is managed by the Australian Wildlife Conservancy. Emma Gorge is within the El Questro pastoral lease. There is regional fire management in the western parts of its range, intensive management of fire at Artesian Range, and regional fire management immediately to the east of the main distribution through the EcoFire Project. A research project on Scaly-tailed Possums at Artesian Range (Australian Wildlife Conservancy / University of Tasmania) began in late 2012, aimed at describing the impacts of fire patterns and feral Cats on their ecology and survival.</p>",Australasian,,false,false,Global
21951638,136450,Phalanger mimicus,Least Concern,,2016,2016-06-30 00:00:00 UTC,3.1,English,"Listed as Least Concern in view of its wide distribution, presumed large population, occurrence in protected areas, tolerance to some degree of habitat modification, and because it is unlikely to be declining at nearly the rate required to qualify for listing in a threatened category.","In New Guinea the species often occurs in gallery forest near rivers, but is found also in a variety of habitats with trees, including secondary forests and gardens. It does well in degraded areas. In Australia it is a rainforest specialist; confined to semi-deciduous mesophyll vine forest, notophyll vine forest, and evergreen notophyll vine forest.",There are no major threats to this species overall. In New Guinea this species is affected by hunting and local trade. Mining is also occurring within its range. In Australia it is well protected.,This species is abundant in suitable habitat.,Decreasing,"This species is found in the southern lowlands of the island of New Guinea (Indonesia and Papua New Guinea) and possibly in the Aru islands (Indonesia). It is also present in the McIlwraith Range/Iron Range block of rainforest on the eastern seaboard of Cape York Peninsula (Winter <em>et al.</em> 1991, Maxwell <em>et al.</em> 1996, Winter and Leung 2008).",,Terrestrial,The species probably occurs in several Wildlife Management Areas in New Guinea. It is well protected in the Australian portion of its range.   <br/>This species is listed on Appendix II of CITES.,Australasian,,false,false,Global
21951945,40557,Trichosurus caninus,Least Concern,,2016,2015-06-15 00:00:00 UTC,3.1,English,"Listed as Least Concern in view of its wide distribution, large population, occurrence in a number of protected areas, lack of major threats, and because its population is stable.","It is a nocturnal, mostly scansorial species, of various tall open and closed forest types. It is most common in forested gullies containing trees with hollows (How 2008). It also occurs in exotic pine plantations where it can do considerable damage (How 2008). The female gives birth to a single young after a gestation period of between 15 and 17 days; the young have a pouch life of five to six months (How 2008).",There are no major threats to this species. Clearance of land for agriculture and forestry is a threat in some parts of its range. Foxes also can be a problem. It is shot as a pest in pine plantations and was harvested for its pelt by trappers during regulated open seasons around a century ago.,It is a common species (How 2008).,Stable,"This species is endemic to south-eastern Australia, where it ranges from south-eastern Queensland and in southern coastal New South Wales to about Newcastle (How 2008). It occurs from sea level up to 1,600 m asl.",,Terrestrial,It is present in many protected areas.,Australasian,,false,false,Global
21952015,136256,Trichosurus cunninghami,Least Concern,,2016,2015-06-15 00:00:00 UTC,3.1,English,"Listed as Least Concern in view of its wide distribution, presumed large population, occurrence in a number of protected areas, lack of major threats, and because it is not currently in decline.","It is a mostly scansorial species, of various tall open and closed forest types. It can occur in exotic pine plantations and is a pest in regenerating pine plantations. The female gives birth to a single young after a gestation period of between 15 and 17 days; the young have a pouch life of five to six months (Martin 2008). Along the Snowy River it dens in rocky crevices instead of tree holes or logs.",There are no major threats to this species. Clearance of land for agriculture and forestry is a threat in some parts of its range. Foxes also can be a problem.,It is a common species (Martin 2008).,Stable,"This species occurs from Ulladulla in southern New South Wales, south to Wombat Forest and Mount Cole in central Victoria. It occurs from sea level up to 1,300 m asl (but usually above 300 m; Martin 2008).",,Terrestrial,Its range includes numerous protected areas.,Australasian,,false,false,Global
21952080,40585,Trichosurus vulpecula,Least Concern,,2016,2015-06-15 00:00:00 UTC,3.1,English,"Listed as Least Concern in view of its wide distribution, presumed large population, occurrence in a number of protected areas, and because it is unlikely to be declining at nearly the rate required to qualify for listing in a threatened category.","It is a largely arboreal, nocturnal species, that is generally found in dry eucalypt forests and woodlands. Large populations of this species can be found in pine plantations and suburban and urban areas (Kerle and How 2008). It breeds year round in some areas, in others it will breed in one or two seasons. Females begin breeding at about one year of age and a single young is born after a gestation period of 16 to 18 days; it has a pouch life of four to five months (Kerle and How 2008).<br/><br/>This species is commercially harvested in Tasmania. On Kangaroo Island, it is treated as a pest species (to humans and other threatened species) and there are removal permits. It is major a pest species in pine plantations in Australia where it can do considerable damage, and acts as a host of bovine tuberculosis in New Zealand (Kerle and How 2008).","There are no major threats to this species. Predation by introduced dingoes, cats, and foxes, as well as by native pythons can impact populations where the species is rare. Changed fire regimes in South Australia and the Northern Territory adversely affect Common Brushtail Possums, especially with the decline of large trees.","The species can be locally abundant, particularly in south-eastern Australia, Tasmania, and Kangaroo Island. In many other areas it has declined drastically, especially in arid and semi-arid Australia. <br/><br/>It is generally sparse and declining in monsoonal northern Australia. In South Australia it is only common on the offshore islands and in metropolitan areas. Populations on the western plains of New South Wales are restricted to riverine habitat. In the iron bark forest of the Brigalow belt bioregion of New South Wales, there has been 90% decline in the last 15 years.",Decreasing,"The Common Brushtail Possum is endemic to Australia where it is widespread. It ranges over much of northern, eastern, and south-western Australia. It occurs as scattered populations in the arid central part of the country. It is also present on the island of Tasmania and a number of offshore islands (e.g., Barrow, Kangaroo, and the Bass Strait Islands) (Kerle and How 2008). There is a large, introduced population in New Zealand (not mapped) (Kerle and How 2008).",,Terrestrial,It is present in many protected areas. Fox control is crucial in semi-arid and arid areas.,Australasian,,false,false,Global
21952658,40575,Wallabia bicolor,Least Concern,,2016,2015-06-15 00:00:00 UTC,3.1,English,"Listed as Least Concern in view of its wide distribution, large population, occurrence in numerous protected areas, tolerance to some degree of habitat modification, lack of major threats, and because its population is probably increasing along with its expanding range.","It is generally a solitary species, associated with dense vegetation within various forest, woodland, heath, and scrub type habitats. It can be found grazing in pasture, agricultural crops, and exotic tree plantations (Merchant 2008). The species breeds throughout the year, when both sexes are between 15 and 18 months old (Merchant 2008). A single young is born after a gestation period of 33 to 38 days; the young have a pouch life of eight to nine months (Merchant 2008).",There are no major threats to this species.,"It is a common species (Merchant 2008), and its population is expanding along the western drainages of its range. On the Cape York Peninsula in Queensland it is a scarce species. Its range is also expanding in south-east South Australia.",Increasing,"This species is endemic to eastern Australia, where it ranges from Cape York, Queensland in the north, to Victoria and south-eastern South Australia (Merchant 2008). There are populations of this species on the islands of Fraser, Bribie, Moreton, and North and South Stradbroke, Queensland (Merchant 2008). It occurs from sea level up to at least 1,800 m asl.",,Terrestrial,It is present in numerous protected areas.,Australasian,,false,false,Global
21952954,41513,Macropus giganteus,Least Concern,,2016,2015-06-15 00:00:00 UTC,3.1,English,"Listed as Least Concern in view of its wide distribution, large population, occurrence in a number of protected areas, lack of major threats, and because it is not in decline.","This species is found in sclerophyll forest, woodlands (including mallee scrub), shrubland and heathland (Coulson 2008); also occurs in agricultural lands, introduced grasslands and other modified landscapes. It is nocturnal, gregarious, and large mobs gather where food is abundant.","There are no major threats to this species. Animals may be shot under license (in some states a license is not required) where they damage crops, pasture or fences. <em>M. g. tasmaniensis</em> is threatened by loss of habitat through agricultural clearing.","Mainland populations are abundant (Coulson 2008); these populations have expanded because of increased artificial water points for cattle. The abundance of <em>M. g. tasmaniensis</em> has been estimated between 10,000 and 20,000 animals (Maxwell <em>et al.</em> 1996).",Stable,This species is endemic to eastern mainland Australia and the island of Tasmania (introduced to Maria Island). On the mainland it ranges extensively from north-eastern Queensland (Cape York Peninsula) to south-eastern South Australia (including Fraser Island). It ranges in elevation from sea level to subalpine areas. The subspecies <em>Macropus giganteus tasmaniensis</em> is restricted to Eastern Tasmania (Barker and Caughley 1990).,,Terrestrial,The species is present in many protected areas and is protected by national legislation. Regulated harvesting takes place under the supervision of state and federal governments (the latter only manages harvesting when animals are exported).,Australasian,,false,false,Global
21953067,12627,Notamacropus parma,Near Threatened,C2a(ii),2019,2015-06-15 00:00:00 UTC,3.1,English,"This species is listed as Near Threatened as it is estimated to number less than 10,000 mature individuals, and there are indications of recent decline. The evidence of decline is not strong enough that the species can be assessed as Vulnerable, but it may be close to qualifying as VU under criterion C2. Continued decline is likely if there is an increase in predation by foxes, which could be caused by increased habitat fragmentation or (more likely) by increased incidence of fire in the species' habitat, result in greater exposure of animals to predation by foxes. Fire could increase as a result of rising frequency of weather events contributing to high fire danger, under climate change.","It is found within wet sclerophyll forest with dense understorey, but with access to forest with a grassy understorey. The species is often found in dry sclerophyll forests and rainforest (Maynes 2008). It is nocturnal and usually solitary (Maynes 2008).",Forest fragmentation combined with predation from foxes appear to be the principal reasons for the decline of the species. Grazing and burning regimes that affect availability of shelter are a disadvantage to populations (Maxwell <em>et al.</em> 1996). Reintroductions of the species have been unsuccessful due to fox predation.,"This species is rare and patchily distributed. There are no recent population estimates. In 1992, the total number of adults was estimated at between 1,000 and 10,000 individuals. There appears to be no evidence of a decline.",Unknown,"This species is endemic to Australia, where it occurs in New South Wales, Australia (formerly as far south as the Illawarra). It is present in suitable forests scattered throughout the escarpment, but it is no longer found in coastal forests. Upper altitudinal sites include the Dorrigo Plateau, Gibraltar Range, and Barrington Tops. It occurs up to 1,000 m asl. Feral populations exist on Kauwau Island, New Zealand (Maynes 2008).",,Terrestrial,"This species is present in protected areas. Advisable conservation measures include the completion and implementation of a Recovery Plan, studies to determine optimal survey methods, a detailed survey of populations, and the targeted fox control programs.",Australasian,,false,false,Global
